"ID","Title","Year","IMDb","Language"
"3867","Raise Hell: The Life & Times of Molly Ivins","2019","7.6","English"
"3868","Under the Tree","2017","6.8","Icelandic"
"3869","The League of Extraordinary Gentlemen","2003","5.8","English,German,Italian"
"3870","Hello I Must Be Going","2012","6.2","English"
"3871","Two Trains Runnin'","2016","7.4","English"
"3872","The Jewel of the Nile","1985","6.1","English,Arabic"
"3873","Middle Men","2009","6.8","English"
"3874","Before I Go to Sleep","2014","6.3","English"
"3875","Eating Animals","2018","7.3","English"
"3876","Mom and Dad","2018","5.5","English"
"3877","Touched with Fire","2016","6.2","English"
"3878","Cunningham","2019","6.4","English"
"3879","Starfish","2018","5.3","English"
"3880","The Yellow Handkerchief","2009","6.7","English"
"3881","The First Monday in May","2016","7.2","English"
"3882","The Miracle Season","2018","6.5","English"
"3883","Burden","2016","6.9","English"
"3884","Downsizing","2017","5.7","English,Spanish,Norwegian,French,Korean,Greek,Vietnamese"
"3885","Lowlife","2017","6.2","English,Polish,Latin"
"3886","The Blue Room","2014","6.3","French"
"3887","The Chumscrubber","2005","6.9","English"
"3888","Pledge","2019","5.4","English"
"3889","Universal Soldier","1992","6","English"
"3890","Non-Fiction","2018","6.5","French"
"3891","Larger than Life: The Kevyn Aucoin Story","2017","8.3","English"
"3892","The Bookshop","2017","6.5","English"
"3893","Baskın","2015","5.8","Indonesian"
"3894","A Life Less Ordinary","1997","6.4","English"
"3895","Girls Just Want to Have Fun","1985","6","English"
"3896","The Ant Bully","2006","5.8","English"
"3897","Overboard","2018","6","English,French,Portuguese"
"3898","Henry Gamble's Birthday Party","2015","6.1","English"
"3899","Nico, 1988","2017","6.7","English,German,Czech,French"
"3900","Diane","2019","6.7","English"
"3901","Joshy","2016","5.9","English"
"3902","Leaving","2009","6.2","French,Catalan,English"
"3903","Finding Your Feet","2017","6.7","English,Italian,French,Welsh"
"3904","The Princess of Montpensier","2010","6.4","French"
"3905","Citizen Jane: Battle for the City","2017","6.9","English"
"3906","High-Rise","2015","5.6","English"
"3907","Unlocked","2017","6.2","English,Arabic,German"
"3908","Far From The Tree","2017","7.5","English"
"3909","Freak Show","2018","6.7","English"
"3910","C.S.A.: The Confederate States of America","2005","6.4","English"
"3911","AWOL","2017","5.5","English"
"3912","Haze","2017","5.9","English"
"3913","Maze","2017","5.9","Hindi,Bengali"
"3914","Legion of Brothers","2017","5.7","English"
"3915","Mister America","2019","6.4","English"
"3916","The Archer","2017","5.1","English"
"3917","Tank Girl","1995","5.3","English"
"3918","Little Joe","2019","5.9","English"
"3919","Scotch: A Golden Dream","2019","7.5","English"
"3920","The Prodigy","2019","5.8","English"
"3921","Divide and Conquer: The Story of Roger Ailes","2018","7","English"
"3922","This Is Not Berlin","2019","6.6","Spanish"
"3923","The Last Word","2017","6.6","English,Sign Languages"
"3924","The Hustle","2019","5.4","English,German,Dutch,Danish,French,American Sign Language"
"3925","The Unicorn","2019","5.1","English"
"3926","Whose Streets?","2017","5","English"
"3927","Vox Lux","2018","5.9","English,Croatian,Chinese"
"3928","Take Every Wave: The Life of Laird Hamilton","2018","7.3","English"
"3929","Leaning Into the Wind: Andy Goldsworthy","2018","6.7","English,Portuguese,French"
"3930","The Amazing Johnathan Documentary","2019","6.6","English"
"3931","Unmade Beds","2009","6.6","English,French,Spanish,Italian"
"3932","Case 39","2009","6.2","English"
"3933","The X Files: I Want to Believe","2008","5.9","English,Russian,Czech"
"3934","The Gospel According to André","2018","6.3","English"
"3935","A Good Old Fashioned Orgy","2011","6.1","English"
"3936","Children of the Corn","1984","5.7","English"
"3937","The Osiris Child","2016","5.6","English"
"3938","Friday the 13th: The Final Chapter","1984","6","English"
"3939","Ballet 422","2014","6.2","English"
"3940","Shelley","2016","5.2","Danish,English,Norwegian,Swedish,Romanian"
"3941","The Escape","2018","5.8","English"
"3942","Where Hands Touch","2018","6.2","English"
"3943","The Myth of the American Sleepover","2011","6.3","English"
"3944","Jawline","2019","5.9","English"
"3945","Anchor and Hope","2017","6.4","English,Spanish"
"3946","Antiviral","2012","5.7","English"
"3947","Flower","2017","6","English"
"3948","All Square","2018","5.8","English"
"3949","The Day Shall Come","2019","5.8","English"
"3950","Depraved","2019","5.3","English"
"3951","Wonder Park","2019","5.8","English"
"3952","Go Tigers!","2001","7.2","English"
"3953","Already Tomorrow in Hong Kong","2016","6.5","English"
"3954","We Are What We Are","2010","5.7","English"
"3955","Hungry Hearts","2015","6.4","English"
"3956","The Tall Man","2012","5.9","English"
"3957","Scenic Route","2013","6.5","English"
"3958","Ms. Purple","2019","6","English"
"3959","What Men Want","2019","5.2","English,Mandarin"
"3960","A Crooked Somebody","2018","6.2","English"
"3961","The Kid","2019","5.9","English"
"3962","Do I Sound Gay?","2015","5.7","English,French"
"3963","The Beach Bum","2019","5.5","English,Spanish"
"3964","The Whistle Blower","1986","6.2","English,Russian"
"3965","Road Games","2015","5.4","English"
"3966","Let the Sunshine In","2017","6","French"
"3967","Wild Card","2015","5.6","English"
"3968","Æon Flux","2005","5.4","English"
"3969","Brick Mansions","2014","5.7","English,Chinese"
"3970","Planet 51","2009","6","English,Spanish"
"3971","Padre nuestro","2007","6.9","English"
"3972","Run the Race","2019","5.9","English"
"3973","Ramen Heads","2017","7.1","Japanese"
"3974","Beyond the Gates","2016","5.2","English"
"3975","House of D","2004","7","English,French"
"3976","The Devil's Doorway","2018","5.2","English"
"3977","Changeland","2019","5.7","English,Thai"
"3978","The Year of Spectacular Men","2018","5.6","English"
"3979","In Paris","2006","6.5","French"
"3980","Trigun: Badlands Rumble","2010","7.5","Japanese"
"3981","Digging for Fire","2015","5.8","English,Spanish"
"3982","Before We Vanish","2017","6","Japanese"
"3983","Here to be Heard: The Story of the Slits","2018","7.1","English"
"3984","The Lorax","1972","8","English"
"3985","Stella's Last Weekend","2018","6.4","English"
"3986","Kiki","2017","6.5","Spanish,English,Spanish Sign Language"
"3987","Midnighters","2018","5.4","English"
"3988","The Brink","2019","6.1","English"
"3989","Damsel","2018","5.5","English"
"3990","Killing Them Safely","2015","6.5","English"
"3991","Conan the Barbarian","2011","5.2","English"
"3992","Family Law","2006","6.9","English"
"3993","Cantinflas","2014","6.5","Spanish,English"
"3994","Madea's Big Happy Family","2011","4.7","English"
"3995","What We Become","2015","5.6","Danish"
"3996","Free Birds","2013","5.9","English"
"3997","Righteous Kill","2008","6","English,Spanish,Russian"
"3998","I Still See You","2018","5.8","English"
"3999","Men with Brooms","2002","5.7","English,American Sign Language,German"
"4000","The Girl King","2015","5.9","English,French,German,Latin"
"4001","Foxfire","1996","6.2","English"
"4002","WolfCop","2014","5.5","English"
"4003","Star Trek V: The Final Frontier","1989","5.5","English,Klingon"
"4004","Pilgrimage","2017","5.8","English,Irish,French,Latin"
"4005","UglyDolls","2019","4.9","English"
"4006","Vita & Virginia","2019","5.7","English"
"4007","Dementia","2015","5.1","English"
"4008","Acrimony","2018","5.8","English"
"4009","Afro Samurai: Resurrection","2009","7.2","English"
"4010","Friday the 13th Part III","1982","5.7","English"
"4011","Fun in Acapulco","1963","5.9","English"
"4012","Mad to Be Normal","2017","6","English"
"4013","The Last Race","2018","5.9","English,Mandarin,Japanese"
"4014","Undrafted","2016","6.4","English"
"4015","2:22","2017","5.8","English,French"
"4016","The Cleanse","2018","5.3","English"
"4017","Take My Nose... Please!","2017","6.8","English"
"4018","10x10","2018","5","English"
"4019","Harry Benson: Shoot First","2016","7.3","English"
"4020","The Reagan Show","2017","6.4","English"
"4021","Race for Your Life, Charlie Brown","1977","7.3","English"
"4022","Fairy Tail the IteratorPattern.Movies.Movie: Phoenix Priestess","2012","7.1","Japanese"
"4023","Tiny Toon Adventures: How I Spent My Vacation","1992","8","English"
"4024","Proxy","2013","5.7","English"
"4025","Welcome to Mercy","2018","4.9","English,Latvian"
"4026","Permanent","2017","5.5","English"
"4027","Terminal","2018","5.4","English,Bulgarian,Spanish,Russian,Mandarin,German,French"
"4028","Walking with the Enemy","2014","6.4","English,German,Hungarian,Romanian"
"4029","Crash Pad","2017","5.7","English"
"4030","Abduction","2011","5.1","English"
"4031","The Big Wedding","2013","5.6","English,Spanish,Chinese,Latin"
"4032","Spinning Man","2018","5.6","English"
"4033","Golden Exits","2018","5.8","English"
"4034","Madea's Witness Protection","2012","4.9","English"
"4035","Playing It Cool","2014","6","English,Korean"
"4036","Greener Grass","2019","6.3","English"
"4037","Errors of the Human Body","2012","5.3","English"
"4038","Spaceship Earth","2020","6.5",""
"4039","The Quiet One","2019","6.4","English"
"4040","The Pink Panther 2","2009","5.6","English,French,Spanish,Italian"
"4041","Phoenix Forgotten","2017","5.3","English"
