movie,year,rating,imdb_rating,reelgood_rating
Patch Adams,1998,13+,6.8,71
In Good Company,2004,13+,6.4,71
Flirting with Disaster,1996,18+,6.7,71
Deerskin,2019,N/A,6.7,71
The Kid Who Would Be King,2019,7+,6,71
Western Stars,2019,7+,7.5,71
Bicentennial Man,1999,7+,6.9,71
Alien Resurrection,1997,18+,6.2,71
Life According to Sam,2013,all,8.2,71
Starter for 10,2006,13+,6.7,71
Final Destination 5,2011,18+,5.8,71
The Price of Everything,2018,16+,7.2,71
*batteries not included,1987,7+,6.7,71
Magic,1978,18+,6.8,71
The Sugarland Express,1974,7+,6.8,71
The Cold Blue,2018,7+,7.5,71
Longford,2006,18+,7.6,71
All of Me,1984,7+,6.7,71
Savages,2012,18+,6.5,71
Hackers,1995,13+,6.3,71
The Gathering Storm,2002,all,7.5,70
Tucker: The Man and His Dream,1988,7+,6.9,70
Valentine Road,2013,16+,7.1,70
The Tuskegee Airmen,1995,13+,7.1,70
Sweet Dreams,1985,13+,7.1,70
Jeepers Creepers,2001,18+,6.2,70
Can't Buy Me Love,1987,13+,6.8,70
Devil,2010,13+,6.2,70
Cries from Syria,2017,18+,8.1,70
Sound of My Voice,2011,18+,6.6,70
Proof,2005,13+,6.7,70
My Dinner with Herv?,2018,18+,7,70
The Case Against 8,2014,16+,7.3,70
King in the Wilderness,2018,16+,8,70
Kiss of the Dragon,2001,18+,6.6,70
May It Last: A Portrait of the Avett Brothers,2017,N/A,8.2,70
Another Woman,1988,7+,7.3,70
The Family Stone,2005,13+,6.3,70
Rocket Science,2007,18+,6.6,69
Cowboys & Aliens,2011,13+,6,69
The Laramie Project,2002,16+,7.1,69
El Angel,2018,N/A,7,69
The Thing,2011,18+,6.2,69
Collateral Beauty,2016,13+,6.8,69
Real Women Have Curves,2002,13+,6.8,69
Rock 'n' Roll High School,1979,7+,6.7,69
Mapplethorpe: Look at the Pictures,2016,18+,7.5,69
Stay,2005,18+,6.8,69
The Heiresses,2018,N/A,6.7,69
People Like Us,2012,13+,7.1,69
After Truth: Disinformation and the Cost of Fake News,2020,18+,7,69
The Scheme,2020,18+,7,69
Sgt. Stubby: An American Hero,2018,7+,6.9,69
Showbiz Kids,2020,18+,7,69
This Means War,2012,13+,6.3,69
Far and Away,1992,13+,6.6,69
Ulee's Gold,1997,18+,7,69
A Good Year,2006,13+,7,69
